வட்டம்,முதியோர்_உதவித்தொகை_பயனாளிகள்,விதவை_உதவித்தொகை_பயனாளிகள்,மாற்றுத்திறனாளிகள்_உதவித்தொகை,மாதாந்திர_பட்டுவாடா_தொகை,திட்டம்
ஈரோடு,8450,3210,1540,19785000,NSAP_OAP
பெருந்துறை,5120,1980,920,12030000,NSAP_OAP
பவானி,6890,2650,1280,16230000,NSAP_OAP
கொடுமுடி,3450,1240,610,7950000,NSAP_OAP
மொடக்குறிச்சி,4780,1850,890,11280000,NSAP_OAP
அந்தியூர்,5600,2150,1020,13155000,NSAP_OAP
கோபிசெட்டிபாளையம்,7890,3010,1450,18525000,NSAP_OAP
சத்தியமங்கலம்,6120,2340,1110,14355000,NSAP_OAP
நம்பியூர்,2980,1120,540,6960000,NSAP_OAP
தாளவாடி,3140,1190,580,7365000,NSAP_OAP
