வட்டம்,ஒதுக்கப்பட்ட_பட்ஜெட்,செலவிடப்பட்ட_தொகை,திட்டங்கள்_எண்ணிக்கை,நிதி_ஆண்டு,செயலாக்க_விழுக்காடு
ஈரோடு,14500000,12800000,42,2025-26,88.3
பெருந்துறை,8900000,7600000,28,2025-26,85.4
பவானி,11200000,9800000,35,2025-26,87.5
கொடுமுடி,6400000,5900000,18,2025-26,92.2
மொடக்குறிச்சி,7800000,6900000,22,2025-26,88.5
அந்தியூர்,9100000,8100000,29,2025-26,89.0
கோபிசெட்டிபாளையம்,13400000,11900000,39,2025-26,88.8
சத்தியமங்கலம்,48500000,45200000,85,2025-26,93.2
நம்பியூர்,5200000,4800000,16,2025-26,92.3
தாளவாடி,7100000,6200000,21,2025-26,87.3
